descricao;Ponto de corte;Acurácia;Sensitividade;Especificidade;AUC
Random forest dummy county;0.1;0.7490530303030303;0.9839285714285714;0.6643041237113402;0.980542962997054
Random forest dummy county;0.15000000000000002;0.8385416666666666;0.9660714285714286;0.7925257731958762;0.980542962997054
Random forest dummy county;0.2;0.8929924242424242;0.9589285714285715;0.8692010309278351;0.980542962997054
Random forest dummy county;0.25;0.928030303030303;0.9446428571428571;0.9220360824742269;0.980542962997054
Random forest dummy county;0.30000000000000004;0.9441287878787878;0.925;0.9510309278350515;0.980542962997054
Random forest dummy county;0.35;0.9517045454545454;0.9142857142857143;0.9652061855670103;0.980542962997054
Random forest dummy county;0.4;0.959280303030303;0.9071428571428571;0.9780927835051546;0.980542962997054
Random forest dummy county;0.45000000000000007;0.9630681818181818;0.8946428571428572;0.9877577319587629;0.980542962997054
Random forest dummy county;0.5;0.9635416666666666;0.8839285714285714;0.9922680412371134;0.980542962997054
Random forest dummy county;0.55;0.9602272727272727;0.8642857142857143;0.9948453608247423;0.980542962997054
Random forest dummy county;0.6;0.9507575757575758;0.8267857142857142;0.9954896907216495;0.980542962997054
Random forest dummy county;0.65;0.9441287878787878;0.7946428571428571;0.9980670103092784;0.980542962997054
Random forest dummy county;0.7000000000000001;0.9318181818181818;0.7464285714285714;0.9987113402061856;0.980542962997054
Random forest dummy county;0.75;0.9105113636363636;0.6660714285714285;0.9987113402061856;0.980542962997054
Random forest dummy county;0.8;0.8830492424242424;0.5589285714285714;1;0.980542962997054
Random forest dummy county;0.85;0.8394886363636364;0.39464285714285713;1;0.980542962997054
Random forest dummy county;0.9;0.7916666666666666;0.21428571428571427;1;0.980542962997054
