descricao;Ponto de corte;Acurácia;Sensitividade;Especificidade;AUC
Árvore de decisão;0.1;0.9337121212121212;0.9410714285714286;0.9310567010309279;0.9853777384020618
Árvore de decisão;0.15000000000000002;0.9446022727272727;0.9142857142857143;0.9555412371134021;0.9853777384020618
Árvore de decisão;0.2;0.9431818181818182;0.9035714285714286;0.9574742268041238;0.9853777384020618
Árvore de decisão;0.25;0.9417613636363636;0.8928571428571429;0.9594072164948454;0.9853777384020618
Árvore de decisão;0.30000000000000004;0.943655303030303;0.8857142857142857;0.9645618556701031;0.9853777384020618
Árvore de decisão;0.35;0.9450757575757576;0.8839285714285714;0.967139175257732;0.9853777384020618
Árvore de decisão;0.4;0.9450757575757576;0.8839285714285714;0.967139175257732;0.9853777384020618
Árvore de decisão;0.45000000000000007;0.9450757575757576;0.8839285714285714;0.967139175257732;0.9853777384020618
Árvore de decisão;0.5;0.9450757575757576;0.8839285714285714;0.967139175257732;0.9853777384020618
Árvore de decisão;0.55;0.9450757575757576;0.8839285714285714;0.967139175257732;0.9853777384020618
Árvore de decisão;0.6;0.9450757575757576;0.8839285714285714;0.967139175257732;0.9853777384020618
Árvore de decisão;0.65;0.9450757575757576;0.8839285714285714;0.967139175257732;0.9853777384020618
Árvore de decisão;0.7000000000000001;0.9441287878787878;0.8785714285714286;0.9677835051546392;0.9853777384020618
Árvore de decisão;0.75;0.9450757575757576;0.85;0.979381443298969;0.9853777384020618
Árvore de decisão;0.8;0.943655303030303;0.7928571428571428;0.9980670103092784;0.9853777384020618
Árvore de decisão;0.85;0.943655303030303;0.7928571428571428;0.9980670103092784;0.9853777384020618
Árvore de decisão;0.9;0.943655303030303;0.7928571428571428;0.9980670103092784;0.9853777384020618
