v1;v2;correlacao;correlacao_absoluta
condado_qtd_habitantes;condado_idade_mediana_habitantes;-0.232945396251496;0.232945396251496
valor_cobranca_geral;avg_monthly_long_distance_charges;0.23221503630941887;0.23221503630941887
qtd_streamings;tx_concentracao_cobranca_mes_q3;-0.22556125092263402;0.22556125092263402
total_charges;avg_monthly_gb_download;0.22326785997304224;0.22326785997304224
condado_tx_habitantes_homens;condado_qtd_habitantes;-0.22323369560973613;0.22323369560973613
condado_tx_habitantes_menor_18_anos;condado_indice_gini_desigualdade_renda;-0.2211183366295612;0.2211183366295612
tx_concentracao_cobranca_mes_q3;number_of_referrals;-0.21923052938644352;0.21923052938644352
condado_densidade_populacional;condado_area_terra_m2;-0.2167080647444056;0.2167080647444056
total_long_distance_charges;number_of_referrals;0.2161898476773698;0.2161898476773698
valor_cobrancas_extras;number_of_referrals;0.21572932090034305;0.21572932090034305
qtd_streamings;valor_cobrancas_extras;0.20393226814004956;0.20393226814004956
qtd_streamings;total_long_distance_charges;0.20154823181441844;0.20154823181441844
tx_concentracao_cobranca_mes_q3;monthly_charge;-0.18512829361227995;0.18512829361227995
valor_cobranca_geral;avg_monthly_gb_download;0.180713484616591;0.180713484616591
qtd_servicos_principais;valor_cobrancas_extras;0.1758561538043776;0.1758561538043776
qtd_servicos_principais;total_long_distance_charges;0.17303396326497514;0.17303396326497514
condado_tx_habitantes_menor_18_anos;condado_tx_habitantes_homens;-0.15629904952747728;0.15629904952747728
qtd_servicos_adicionais;cltv;0.15572965047403745;0.15572965047403745
tx_concentracao_cobranca_mes_q3;cltv;-0.15467463861123457;0.15467463861123457
monthly_charge;age;0.14468500723172575;0.14468500723172575
qtd_servicos_adicionais;number_of_referrals;0.14301503602995724;0.14301503602995724
qtd_servicos_principais;number_of_dependents;-0.14246151519837114;0.14246151519837114
monthly_charge;avg_monthly_long_distance_charges;0.138396181571893;0.138396181571893
condado_renda_familiar_mediana;condado_indice_gini_desigualdade_renda;0.13433947376027022;0.13433947376027022
monthly_charge;number_of_dependents;-0.1318365506024475;0.1318365506024475
condado_tx_habitantes_homens;condado_renda_familiar_mediana;-0.13031859676128432;0.13031859676128432
avg_monthly_gb_download;number_of_dependents;0.12996573674974143;0.12996573674974143
total_extra_data_charges;monthly_charge;0.12624443521694262;0.12624443521694262
cltv;number_of_referrals;0.12284292711677393;0.12284292711677393
valor_cobranca_geral;total_extra_data_charges;0.1225293881892453;0.1225293881892453
total_extra_data_charges;total_charges;0.12185925192664049;0.12185925192664049
qtd_streamings;cltv;0.12179922648940852;0.12179922648940852
number_of_dependents;age;-0.1189998623624614;0.1189998623624614
tx_contrib_cobrancas_extras_cobranca_geral;valor_cobranca_geral;-0.11680014492722038;0.11680014492722038
condado_renda_familiar_mediana;condado_qtd_habitantes;-0.1134372656291588;0.1134372656291588
qtd_servicos_principais;age;0.11056014448176957;0.11056014448176957
tenure_in_months;number_of_dependents;0.10823718834126832;0.10823718834126832
qtd_servicos_principais;total_extra_data_charges;0.10812375557649107;0.10812375557649107
tx_contrib_cobrancas_extras_cobranca_geral;tenure_in_months;-0.09892521379369791;0.09892521379369791
cltv;monthly_charge;0.09869320961239768;0.09869320961239768
tx_concentracao_cobranca_mes_q3;number_of_dependents;-0.09768906794185639;0.09768906794185639
condado_area_terra_m2;condado_qtd_habitantes;0.09551152657085035;0.09551152657085035
qtd_streamings;total_extra_data_charges;0.09541397320960444;0.09541397320960444
tx_concentracao_cobranca_mes_q3;total_refunds;-0.09470772415818948;0.09470772415818948
tx_contrib_cobrancas_extras_cobranca_geral;age;-0.0935399527798792;0.0935399527798792
tx_contrib_cobrancas_extras_cobranca_geral;tx_concentracao_cobranca_mes_q3;0.0930509613467738;0.0930509613467738
total_extra_data_charges;avg_monthly_gb_download;0.08893878647588854;0.08893878647588854
valor_cobrancas_extras;total_extra_data_charges;0.08833028892627784;0.08833028892627784
tx_contrib_cobrancas_extras_cobranca_geral;number_of_dependents;0.08713394723565253;0.08713394723565253
total_extra_data_charges;tenure_in_months;0.08226552631579367;0.08226552631579367
tx_concentracao_cobranca_mes_q3;total_extra_data_charges;-0.08225159225693839;0.08225159225693839
tx_valores_reembolsados;valor_cobranca_geral;-0.08137702789082148;0.08137702789082148
tx_valores_reembolsados;total_charges;-0.0770754857663266;0.0770754857663266
qtd_streamings;number_of_referrals;0.07319071656117197;0.07319071656117197
tx_valores_reembolsados;tenure_in_months;-0.0728420763245175;0.0728420763245175
total_charges;avg_monthly_long_distance_charges;0.06950017462069699;0.06950017462069699
total_long_distance_charges;number_of_dependents;0.0689655984152188;0.0689655984152188
valor_cobrancas_extras;tx_valores_reembolsados;-0.06896392582857215;0.06896392582857215
tx_valores_reembolsados;total_long_distance_charges;-0.06891457220476664;0.06891457220476664
valor_cobrancas_extras;number_of_dependents;0.06838825952870006;0.06838825952870006
condado_densidade_populacional;condado_tx_habitantes_homens;-0.06667848065735035;0.06667848065735035
tx_valores_reembolsados;avg_monthly_long_distance_charges;-0.06000172152438131;0.06000172152438131
total_charges;age;0.05968403333995884;0.05968403333995884
total_refunds;tenure_in_months;0.059021390539808594;0.059021390539808594
total_long_distance_charges;total_extra_data_charges;0.058871322182567964;0.058871322182567964
qtd_streamings;number_of_dependents;-0.05868106804042121;0.05868106804042121
qtd_servicos_adicionais;avg_monthly_long_distance_charges;-0.053006157504874224;0.053006157504874224
cltv;number_of_dependents;0.04961056923923106;0.04961056923923106
avg_monthly_gb_download;tenure_in_months;0.049118613696952335;0.049118613696952335
valor_cobranca_geral;age;0.04832678530039635;0.04832678530039635
tx_concentracao_cobranca_mes_q3;avg_monthly_gb_download;-0.047356123779075034;0.047356123779075034
tx_contrib_cobrancas_extras_cobranca_geral;tx_valores_reembolsados;-0.04355270177267452;0.04355270177267452
cltv;total_extra_data_charges;0.04253986554238711;0.04253986554238711
condado_area_terra_m2;condado_tx_habitantes_homens;0.04129045664977324;0.04129045664977324
valor_cobranca_geral;total_refunds;0.03973840178437143;0.03973840178437143
total_refunds;total_charges;0.03955848360858369;0.03955848360858369
qtd_servicos_principais;tenure_in_months;0.03953472862906124;0.03953472862906124
avg_monthly_gb_download;number_of_referrals;0.03857488848920473;0.03857488848920473
valor_cobranca_geral;number_of_dependents;0.03807225286375832;0.03807225286375832
condado_densidade_populacional;condado_idade_mediana_habitantes;-0.037960358882503126;0.037960358882503126
tx_contrib_cobrancas_extras_cobranca_geral;total_extra_data_charges;-0.03779259140347107;0.03779259140347107
qtd_servicos_adicionais;tx_valores_reembolsados;-0.03637804941752909;0.03637804941752909
qtd_servicos_principais;tx_concentracao_cobranca_mes_q3;-0.03439358435884213;0.03439358435884213
qtd_streamings;tx_valores_reembolsados;-0.03437402326940214;0.03437402326940214
total_refunds;monthly_charge;0.033481970657389434;0.033481970657389434
avg_monthly_gb_download;avg_monthly_long_distance_charges;-0.030454543844157692;0.030454543844157692
condado_tx_habitantes_homens;cltv;0.030409304607307404;0.030409304607307404
tx_contrib_cobrancas_extras_cobranca_geral;total_refunds;-0.02989098696809115;0.02989098696809115
qtd_servicos_adicionais;total_refunds;0.029392282857712695;0.029392282857712695
condado_tx_habitantes_menor_18_anos;condado_qtd_habitantes;-0.028772334376734925;0.028772334376734925
valor_cobrancas_extras;total_refunds;0.02854710311872395;0.02854710311872395
condado_densidade_populacional;avg_monthly_gb_download;-0.02831710054775247;0.02831710054775247
qtd_servicos_principais;number_of_referrals;-0.028278264812634943;0.028278264812634943
condado_indice_gini_desigualdade_renda;avg_monthly_gb_download;-0.028184411315999146;0.028184411315999146
monthly_charge;number_of_referrals;0.02817296205386094;0.02817296205386094
total_long_distance_charges;total_refunds;0.028112591882334458;0.028112591882334458
condado_area_terra_m2;total_refunds;-0.027505857465437974;0.027505857465437974
tx_concentracao_cobranca_mes_q3;tx_valores_reembolsados;-0.02644199999449958;0.02644199999449958
number_of_referrals;age;-0.025141148952567624;0.025141148952567624
total_extra_data_charges;age;0.02503646609316672;0.02503646609316672
condado_densidade_populacional;avg_monthly_long_distance_charges;0.024928159828371894;0.024928159828371894
qtd_servicos_principais;cltv;0.0249021712649763;0.0249021712649763
condado_indice_gini_desigualdade_renda;total_refunds;0.02485313424241892;0.02485313424241892
total_refunds;number_of_referrals;0.02475598636170315;0.02475598636170315
total_refunds;age;0.024168362856329128;0.024168362856329128
condado_area_terra_m2;avg_monthly_gb_download;0.02411956874690924;0.02411956874690924
qtd_servicos_adicionais;total_extra_data_charges;-0.024039032560624077;0.024039032560624077
cltv;avg_monthly_long_distance_charges;0.02385776495299886;0.02385776495299886
tx_valores_reembolsados;monthly_charge;-0.023371037796724607;0.023371037796724607
tx_valores_reembolsados;cltv;-0.02325523253240394;0.02325523253240394
cltv;avg_monthly_gb_download;0.02304343867232086;0.02304343867232086
tx_contrib_cobrancas_extras_cobranca_geral;cltv;-0.022768468839818836;0.022768468839818836
tx_contrib_cobrancas_extras_cobranca_geral;condado_densidade_populacional;0.02274917069156678;0.02274917069156678
total_charges;number_of_dependents;0.02253458355172733;0.02253458355172733
qtd_servicos_principais;total_refunds;0.02225379640604177;0.02225379640604177
qtd_servicos_principais;condado_idade_mediana_habitantes;-0.021931950428095773;0.021931950428095773
qtd_servicos_adicionais;number_of_dependents;-0.021520549102177985;0.021520549102177985
qtd_servicos_adicionais;age;0.021464750973856583;0.021464750973856583
qtd_servicos_principais;condado_indice_gini_desigualdade_renda;-0.0214112708480985;0.0214112708480985
